date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:08:20	222607/222607	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2008:08:22%20GMT	https://www.afci-formation.fr/	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/index.html	(from )
10:08:20	0/0	---M--	307	error ('Temporary%20Redirect')	text/plain	date:Thu,%2012%20Sep%202024%2008:08:21%20GMT	https://www.afci-formation.fr/robots.txt		(from )
10:08:21	401352/401352	---MCZ	200	added ('OK')	image/jpeg	etag:%2261fc8-61f902f905036-gzip%22	https://www.afci-formation.fr/wp-content/uploads/2024/08/community-young-people-happy-together-scaled.jpg	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/uploads/2024/08/community-young-people-happy-together-scaled.jpg	(from https://www.afci-formation.fr/)
10:08:21	211903/211903	---MCZ	200	added ('OK')	text/html	etag:%227764a8be9885b575602d02bf004d0057%22	https://www.afci-formation.fr/feed/	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/feed/index.html	(from https://www.afci-formation.fr/)
10:08:21	211725/211725	---MCZ	200	added ('OK')	text/html	etag:%227764a8be9885b575602d02bf004d0057%22	https://www.afci-formation.fr/comments/feed/	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/comments/feed/index.html	(from https://www.afci-formation.fr/)
10:08:21	75854/75854	---M-Z	200	added ('OK')	text/css	etag:%221284e-61f2954ee62ad-gzip%22	https://www.afci-formation.fr/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1.6.37	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontendf122.css	(from https://www.afci-formation.fr/)
10:08:21	556/556	---M-Z	200	added ('OK')	text/css	etag:%2222c-6040a61015380-gzip%22	https://www.afci-formation.fr/wp-content/plugins/honeypot/includes/css/wpa.css?ver=2.1.5	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/plugins/honeypot/includes/css/wpad63f.css	(from https://www.afci-formation.fr/)
10:08:21	18514/18514	---M-Z	200	added ('OK')	text/css	etag:%224852-61f19627b7ec6-gzip%22	https://www.afci-formation.fr/wp-content/plugins/wp-custom-cursors/public/css/wp_custom_cursors_main_style.css?ver=3.3	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/plugins/wp-custom-cursors/public/css/wp_custom_cursors_main_style6de8.css	(from https://www.afci-formation.fr/)
10:08:22	776/776	---M-Z	200	added ('OK')	text/css	etag:%22308-61f2954ee1483-gzip%22	https://www.afci-formation.fr/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.37	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementorf122.css	(from https://www.afci-formation.fr/)
10:08:22	19820/19820	---M-Z	200	added ('OK')	text/css	etag:%224d6c-61f2947c26b7c-gzip%22	https://www.afci-formation.fr/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.30.0	C:/Users/Cisco/Bureau/Bureau/aspirationSiteWeb/Afci/www.afci-formation.fr/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mine94d.css	(from https://www.afci-formation.fr/)
